;Установка;;;1 ревизия;;;;;;;;;;;;2 ревизия;;;;;;;;;;;;3 ревизия;;;;;;;;;;;;4 ревизия;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
№ гильзы;Дата ввода ;№ кристаллизатора;№ ручья;Дата установки;Дата вывода;Причина;стойкость, т;Зазор по шаблону;R1;r1;Левый;Правый;Замечания;№ кристаллизатора;№ ручья;Дата установки;Дата вывода;Причина;стойкость, т;Зазор по шаблону;R1;r1;Левый;Правый;Замечания;№ кристаллизатора;№ ручья;Дата установки;Дата вывода;Причина;стойкость, т;Зазор по шаблону;R1;r1;Левый;Правый;Замечания;№ кристаллизатора;№ ручья;Дата установки;Дата вывода;Причина;стойкость, т;Зазор по шаблону;R1;r1;Левый;Правый;Замечания;№ кристаллизатора;№ ручья;Дата установки;Дата вывода;Причина;стойкость, т;Зазор по шаблону;R1;r1;Левый;Правый;Замечания;№ кристаллизатора;№ ручья;Дата установки;Дата вывода;Причина;стойкость, т;Зазор по шаблону;R1;r1;Левый;Правый;Замечания;№ кристаллизатора;№ ручья;Дата установки;Дата вывода;Причина;стойкость, т;Зазор по шаблону;R1;r1;Левый;Правый;Замечания;;;
30013868;25.12.2019;12;2;26.12.2019;30.12.2019;ревизия;2724;"0;5";"0;5";"0;5";"0;5";"0;5";;12;2;06.01.2020;13.01.2020;ревизия;7605;"0;5";"0;5";"0;5";"0;5";"0;5";;12;2;18.01.2020;20.01.2020;смена сечения;8972;"0;5";"0;5";"0;5";"0;5";"0;5";ромб более 10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30014141;17.03.2020;12;4;27.04.2020;29.04.2020;смена сечения;1371;"0;4";"0;4";"0;4";"0;4";"0;4";;12;4;02.05.2020;04.05.2020;смена сечения;2345;"0;4";"0;4";"0;4";"0;4";"0;4";;11;4;09.05.2020;11.05.2020;смена сечения;4519;"0;4";"0;4";"0;4";"0;4";"0;4";;12;4;12.05.2020;17.05.2020;смена сечения;8408;"0;4";"0;4";"0;4";"0;4";"0;4";;12;5;22.05.2020;25.05.2020;ромб 20 (постоянно) ;10434;"0;4";"0;4";"0;4";"0;4";"0;4";Замена гильзы;;;;;;;;;;;;;;;;;;;;;;;;;;;
30013873;26.05.2020;12;5;27.05.2020;02.06.2020;смена сечения;5016;"0;4";"0;4";"0;4";"0;4";"0;4";;12;5;05.06.2020;10.06.2020;ревизия;8362;"0;4";"0;4";"0;4";"0;4";"0;4";;12;2;11.06.2020;14.06.2020;ревизия;10873;"0;4";"0;4";"0;4";"0;4";"0;4";;12;4;27.06.2020;30.06.2020;ревизия;13971;"0;4";"0;4";"0;4";"0;4";"0;4";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30014821;01.07.2020;12;6;05.07.2020;08.07.2020;ревизия;3104;"0;4";"0;4";"0;4";"0;4";"0;4";;12;6;12.07.2020;15.07.2020;ревизия;6373;"0;4";"0;4";"0;4";"0;4";"0;4";;12;6;12.07.2020;15.07.2020;ревизия;6373;"0;4";"0;4";"0;4";"0;4";"0;4";;12;6;19.07.2020;23.07.2020;ревизия;8561;"0;4";"0;4";"0;4";"0;4";"0;4";;12;2;26.07.2020;29.07.2020;ревизия;11571;"0;4";"0;4";"0;4";"0;4";"0;4";ромб 15;;;;;;;;;;;;;;;;;;;;;;;;;;;
30014814;05.08.2020;12;3;05.08.2020;10.08.2020;ревизия;3981;"0;4";"0;4";"0;4";"0;4";"0;4";;12;5;12.08.2020;15.08.2020;ревизия;6617;"0;4";"0;4";"0;4";"0;4";"0;4";;12;4;17.08.2020;19.08.2020;прорыв, ромб 18, выпуклость заготовки;9006;"0;4";"0;4";"0;4";"0;4";"0;4";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30014135;20.08.2020;12;6;21.08.2020;26.08.2020;ревизия;3984;"0;4";"0;4";"0;4";"0;4";"0;4";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30013863;26.12.2019;13;3;26.12.2019;30.12.2019;ревизия;2732;"0;5";"0;5";"0;5";"0;5";"0;5";;13;3;06.01.2020;12.01.2020;ревизия;6824;"0;5";"0;5";"0;5";"0;5";"0;5";;13;3;18.01.2020;20.01.2020;смена сечения;8173;"0;5";"0;5";"0;5";"0;5";"0;5";ромб более 10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30014136;30.04.2020;13;5;12.05.2020;17.05.2020;смена сечения;3918;"0;4";"0;4";"0;4";"0;4";"0;4";;13;4;19.05.2020;21.05.2020;смена сечения;5845;"0;4";"0;4";"0;4";"0;4";"0;4";;13;4;27.05.2020;31.05.2020;;9312;"0;4";"0;4";"0;4";"0;4";"0;4";;13;1;11.06.2020;13.06.2020;;10452;"0;4";"0;4";"0;4";"0;4";"0;4";ромб 13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
83894;13.06.2020;13;3;16.06.2020;22.06.2020;ревизия;5032;"0;4";"0;4";"0;4";"0;4";"0;4";;13;3;26.06.2020;30.06.2020;ревизия;8462;"0;4";"0;4";"0;4";"0;4";"0;4";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30014815;30.06.2020;13;4;05.07.2020;09.07.2020;ревизия;3703;"0;4";"0;4";"0;4";"0;4";"0;4";;13;4;12.07.2020;15.07.2020;ревизия;5843;"0;4";"0;4";"0;4";"0;4";"0;4";;13;4;19.07.2020;23.07.2020;ревизия;8571;"0;4";"0;4";"0;4";"0;4";"0;4";;13;4;31.07.2020;04.08.2020;ревизия;11653;"0;4";"0;4";"0;4";"0;4";"0;4";;13;6;13.08.2020;15.08.2020;ромб 22;13679;"0;4";"0;4";"0;4";"0;4";"0;4";;;;;;;;;;;;;;;;;;;;;;;;;;;;
